crystal_structure,density_g/cm3,melting_point_degC,boiling_point_degC,thermal_conductivity_W/(m*K),specific_heat_J/(kg*K),thermal_expansion_1e-6/K,youngs_modulus_GPa,shear_modulus_GPa,bulk_modulus_GPa,poissons_ratio,hardness_MPa,hardness_Mohs,tensile_strength_MPa,compressive_strength_MPa,fracture_toughness_MPa*m^0.5,refractive_index_o,refractive_index_e,dielectric_constant,resistivity_ohm*m,magnetic_susceptibility_cm3/mol,band_gap_eV,std_enthalpy_kJ/mol,std_entropy_J/(mol*K),Sellmeier_B1,Sellmeier_B2,Sellmeier_B3,Sellmeier_C1_um2,Sellmeier_C2_um2,Sellmeier_C3_um2,lattice_a_angstrom,lattice_b_angstrom,lattice_c_angstrom,lattice_alpha_deg,lattice_beta_deg,lattice_gamma_deg,space_group,volume_angstrom3,Z_formula_units,piezo_d11_pC/N,piezo_d14_pC/N,piezo_e11_C/m2,piezo_e14_C/m2,elastic_C11_GPa,elastic_C12_GPa,elastic_C13_GPa,elastic_C14_GPa,elastic_C33_GPa,elastic_C44_GPa,elastic_C66_GPa,molar_volume_cm3/mol,melting_point_K,boiling_point_K,thermal_expansion_parallel_1/K,thermal_expansion_perp_1/K,dielectric_constant_parallel,dielectric_constant_perp,dielectric_loss_tan_delta,thermal_conductivity_W/mK,poisson_ratio,bandgap_eV,sound_velocity_longitudinal_m/s,sound_velocity_transverse_m/s,viscosity_Pa.s,softening_point_degC,annealing_point_degC,strain_point_degC,freq_temp_coeff_ppm/C,Q_factor,debye_temp_K,formation_gibbs_kJ/mol,notes,reference
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.876000000000001,-272.69560982933683,,,,,,,,,,,,,,Ia-3,836.741,,,,,,,,,,,,,,,,,,,,,,,4.876000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:21639, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.9079999999999995,-291.049910627825,,,,,,,,,,,,,,Pm-3n,1195.34,,,,,,,,,,,,,,,,,,,,,,,5.9079999999999995,,,,,,,,,,,OQMD DFT calculation,"OQMD:21631, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.946999999999999,-288.97781747519446,,,,,,,,,,,,,,R-3,969.951,,,,,,,,,,,,,,,,,,,,,,,5.946999999999999,,,,,,,,,,,OQMD DFT calculation,"OQMD:111543, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.588,-295.8524142756958,,,,,,,,,,,,,,P1,1264.1,,,,,,,,,,,,,,,,,,,,,,,5.588,,,,,,,,,,,OQMD DFT calculation,"OQMD:98601, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.988,-294.69482802400904,,,,,,,,,,,,,,Cc,943.991,,,,,,,,,,,,,,,,,,,,,,,5.988,,,,,,,,,,,OQMD DFT calculation,"OQMD:32269, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.142,-264.6550414400077,,,,,,,,,,,,,,Pmn21,112.09,,,,,,,,,,,,,,,,,,,,,,,6.142,,,,,,,,,,,OQMD DFT calculation,"OQMD:1474062, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.737,-254.10557415850775,,,,,,,,,,,,,,Ibam,73.0559,,,,,,,,,,,,,,,,,,,,,,,4.737,,,,,,,,,,,OQMD DFT calculation,"OQMD:2022041, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.041,-295.7541213210049,,,,,,,,,,,,,,P3221,109.627,,,,,,,,,,,,,,,,,,,,,,,6.041,,,,,,,,,,,OQMD DFT calculation,"OQMD:2023902, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.617000000000001,-278.34237250399934,,,,,,,,,,,,,,C222,95.335,,,,,,,,,,,,,,,,,,,,,,,5.617000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:2033652, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.005,-272.9679930950536,,,,,,,,,,,,,,P2/c,91.796,,,,,,,,,,,,,,,,,,,,,,,6.005,,,,,,,,,,,OQMD DFT calculation,"OQMD:2033651, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.055999999999999,-295.6791869425911,,,,,,,,,,,,,,I-43m,308.779,,,,,,,,,,,,,,,,,,,,,,,6.055999999999999,,,,,,,,,,,OQMD DFT calculation,"OQMD:2014148, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.7490000000000006,-267.1196869643015,,,,,,,,,,,,,,P2/c,256.577,,,,,,,,,,,,,,,,,,,,,,,4.7490000000000006,,,,,,,,,,,OQMD DFT calculation,"OQMD:2047555, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.9190000000000005,-294.6541948671369,,,,,,,,,,,,,,P212121,332.606,,,,,,,,,,,,,,,,,,,,,,,5.9190000000000005,,,,,,,,,,,OQMD DFT calculation,"OQMD:2053779, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,0.0,8121.3041561769405,,,,,,,,,,,,,,P3221,92.6807,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:98214, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.936999999999999,-292.904569244866,,,,,,,,,,,,,,P-1,664.632,,,,,,,,,,,,,,,,,,,,,,,5.936999999999999,,,,,,,,,,,OQMD DFT calculation,"OQMD:2044667, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.926000000000001,-293.6399849100286,,,,,,,,,,,,,,P21/c,547.356,,,,,,,,,,,,,,,,,,,,,,,5.926000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:20577, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,2.8270000000000004,-246.41125921726092,,,,,,,,,,,,,,P4/nnc,616.568,,,,,,,,,,,,,,,,,,,,,,,2.8270000000000004,,,,,,,,,,,OQMD DFT calculation,"OQMD:21653, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.128,-287.3827403131609,,,,,,,,,,,,,,I4/m,908.915,,,,,,,,,,,,,,,,,,,,,,,6.128,,,,,,,,,,,OQMD DFT calculation,"OQMD:21835, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.059,-294.74164649921397,,,,,,,,,,,,,,Pbam,691.026,,,,,,,,,,,,,,,,,,,,,,,6.059,,,,,,,,,,,OQMD DFT calculation,"OQMD:21643, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.77,-286.39800642304726,,,,,,,,,,,,,,P-421c,582.651,,,,,,,,,,,,,,,,,,,,,,,5.77,,,,,,,,,,,OQMD DFT calculation,"OQMD:21834, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.958,-294.91556428969943,,,,,,,,,,,,,,P-1,822.92,,,,,,,,,,,,,,,,,,,,,,,5.958,,,,,,,,,,,OQMD DFT calculation,"OQMD:53017, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.693,-295.6632832999401,,,,,,,,,,,,,,Imma,933.305,,,,,,,,,,,,,,,,,,,,,,,5.693,,,,,,,,,,,OQMD DFT calculation,"OQMD:73934, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.464,-278.08298086312857,,,,,,,,,,,,,,Imm2,2549.95,,,,,,,,,,,,,,,,,,,,,,,6.464,,,,,,,,,,,OQMD DFT calculation,"OQMD:112551, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.792,-295.49679039202334,,,,,,,,,,,,,,C2/m,965.013,,,,,,,,,,,,,,,,,,,,,,,5.792,,,,,,,,,,,OQMD DFT calculation,"OQMD:100485, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.037,-294.41524449816404,,,,,,,,,,,,,,P-1,836.172,,,,,,,,,,,,,,,,,,,,,,,6.037,,,,,,,,,,,OQMD DFT calculation,"OQMD:75846, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.275,-275.9161171752442,,,,,,,,,,,,,,P-1,814.91,,,,,,,,,,,,,,,,,,,,,,,5.275,,,,,,,,,,,OQMD DFT calculation,"OQMD:112552, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,2.667,-246.94578691460225,,,,,,,,,,,,,,P3c1,1070.56,,,,,,,,,,,,,,,,,,,,,,,2.667,,,,,,,,,,,OQMD DFT calculation,"OQMD:21655, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.928,-269.6621976725879,,,,,,,,,,,,,,P-1,803.352,,,,,,,,,,,,,,,,,,,,,,,4.928,,,,,,,,,,,OQMD DFT calculation,"OQMD:112549, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.908,-295.55349846216774,,,,,,,,,,,,,,C2/m,1041.73,,,,,,,,,,,,,,,,,,,,,,,5.908,,,,,,,,,,,OQMD DFT calculation,"OQMD:76844, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.061000000000001,-295.5545268619153,,,,,,,,,,,,,,P21/c,1080.95,,,,,,,,,,,,,,,,,,,,,,,6.061000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:650974, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.9670000000000005,-294.09574707426975,,,,,,,,,,,,,,Pbca,1211.43,,,,,,,,,,,,,,,,,,,,,,,5.9670000000000005,,,,,,,,,,,OQMD DFT calculation,"OQMD:686953, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.024000000000001,-294.3040613451333,,,,,,,,,,,,,,P21/m,1693.16,,,,,,,,,,,,,,,,,,,,,,,6.024000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:689199, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.042,-292.8291095223781,,,,,,,,,,,,,,P-1,1071.93,,,,,,,,,,,,,,,,,,,,,,,6.042,,,,,,,,,,,OQMD DFT calculation,"OQMD:2059420, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.684,-296.16077688383467,,,,,,,,,,,,,,Fd-3,1949.67,,,,,,,,,,,,,,,,,,,,,,,5.684,,,,,,,,,,,OQMD DFT calculation,"OQMD:676315, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.568,-296.5269652692171,,,,,,,,,,,,,,P6/mmm,1973.18,,,,,,,,,,,,,,,,,,,,,,,5.568,,,,,,,,,,,OQMD DFT calculation,"OQMD:676314, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,3.079,-249.75514652910624,,,,,,,,,,,,,,R-3m,660.336,,,,,,,,,,,,,,,,,,,,,,,3.079,,,,,,,,,,,OQMD DFT calculation,"OQMD:686944, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,2.477,-237.9899885809268,,,,,,,,,,,,,,P-3c1,2250.11,,,,,,,,,,,,,,,,,,,,,,,2.477,,,,,,,,,,,OQMD DFT calculation,"OQMD:686947, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.978,-295.81921540868,,,,,,,,,,,,,,Cm,2244.04,,,,,,,,,,,,,,,,,,,,,,,5.978,,,,,,,,,,,OQMD DFT calculation,"OQMD:15264, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.114000000000001,-268.68946171902576,,,,,,,,,,,,,,R-3c,513.814,,,,,,,,,,,,,,,,,,,,,,,4.114000000000001,,,,,,,,,,,OQMD DFT calculation,"OQMD:686951, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.809,-294.76626801053834,,,,,,,,,,,,,,Imma,1789.62,,,,,,,,,,,,,,,,,,,,,,,5.809,,,,,,,,,,,OQMD DFT calculation,"OQMD:688194, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,2.648,1713.0,,,,,,,,,,7.0,,,,1.5442,1.5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room temperature values,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
alpha-quartz,,,,12.0,740,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal properties parallel to c-axis,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
fused_silica,2.2,1713.0,,1.4,730,0.55,,,,,,,,,,1.4585,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amorphous silica glass,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
stishovite,4.287,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-pressure polymorph,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
coesite,2.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-pressure polymorph,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
alpha-cristobalite,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low-temperature cristobalite,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
beta-cristobalite,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-temperature cristobalite,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
alpha-tridymite,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low-temperature tridymite,"CRC Handbook of Chemistry and Physics, 97th ed., Haynes (2016-2017), DOI:10.1201/9781315380476"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9133,,5.4053,90,90,120,P3121,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room temperature X-ray diffraction,"Landolt-Bornstein III/29a, Every & McCurdy (1992), Springer"
alpha-quartz,,,,,,,,,37.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.26,6.57,11.95,-17.18,105.8,57.15,40.35,,,,,,,,,,,,,,,,,,,,,,Mean experimental elastic constants,"Landolt-Bornstein III/29a, Every & McCurdy (1992), Springer"
stishovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,211,203,,776,252,302,,,,,,,,,,,,,,,,,,,,,,Brillouin scattering measurement,"Weidner et al. J Geophys Res 87:4740-4746 (1982), DOI:10.1029/JB087iB06p04740"
alpha-quartz,2.648,,,,,,,,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,6.74,12.4,17.8,106.4,58.0,40.3,,,,,,,,,,,,,,,,,,,,,,Elastic constants at ambient pressure,"Wang et al. Phys Chem Minerals 42:203-212 (2015), DOI:10.1007/s00269-014-0711-z"
alpha-quartz,2.742,,,,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,15.4,23.7,10.7,122.3,62.4,37.5,,,,,,,,,,,,,,,,,,,,,,Elastic constants at 1.5 GPa,"Wang et al. Phys Chem Minerals 42:203-212 (2015), DOI:10.1007/s00269-014-0711-z"
alpha-quartz,2.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,35.6,38.9,3.8,160.1,65.9,33.9,,,,,,,,,,,,,,,,,,,,,,Elastic constants at 4.4 GPa,"Wang et al. Phys Chem Minerals 42:203-212 (2015), DOI:10.1007/s00269-014-0711-z"
alpha-quartz,2.6497,,,,,,,,37.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.17,6.61,12.02,-18.23,105.8,58.27,40.28,,,,,,,,,,,,,,,,,,,,563,,Resonant ultrasound spectroscopy measurement,"Ogi et al. J Appl Phys 100:053511 (2006), DOI:10.1063/1.2335684"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.902,,5.4,,,,P3121,112.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At 2.07 GPa,Levien et al. Am Mineral 65:920-930 (1980)
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.876,,5.364,,,,P3121,110.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At 5.58 GPa,Levien et al. Am Mineral 65:920-930 (1980)
stishovite,4.287,,,,,,,,313.0,,,,,,,,,,,,,,,,,,,,,4.1773,,2.6654,,,,P42/mnm,46.54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rutile structure, 6-coordinate Si","Yamanaka et al. Phys Chem Minerals 29:633-641 (2002), DOI:10.1007/s00269-002-0257-3"
stishovite,4.287,,,,,,,,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,199,192,,762,258,321,,,,,,,,,,,,,,,,,,,,,,"Brillouin scattering, experimental","Jiang et al. Phys Earth Planet Inter 172:235-240 (2009), DOI:10.1016/j.pepi.2008.09.017"
coesite,2.911,,,,,,,,97.5,,,,,,,,,,,,,,,,,,,,,7.14,12.38,7.17,,120.34,,C2/c,548.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monoclinic high-pressure phase,Levien & Prewitt Am Mineral 66:324-333 (1981)
seifertite,4.294,,,,,,,,328.0,,,,,,,,,,,,,,,,,,,,,4.097,5.046,4.495,,,,Pbcn,92.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ultra-high pressure phase, >40 GPa formation","Grocholski et al. Am Mineral 98:1420-1428 (2013), DOI:10.2138/am.2013.4409"
silica_aerogel,0.1,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thermal conductivity 13-20 mW/mK, porosity >90%","Hrubesh J Non-Cryst Solids 225:335-342 (1998), DOI:10.1016/S0022-3093(98)00135-5"
silica_aerogel,0.15,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BET 500-1000 m2/g, pore 5-100 nm","Dorcheh & Abbasi J Mater Proc Tech 199:10-26 (2008), DOI:10.1016/j.jmatprotec.2007.10.060"
mesoporous_silica_MCM41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BET 1000-1200 m2/g, pore 2-3 nm, hexagonal","Beck et al. J Am Chem Soc 114:10834 (1992), DOI:10.1021/ja00053a020"
mesoporous_silica_SBA15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BET 600-1000 m2/g, pore 5-30 nm, hexagonal","Zhao et al. Science 279:548-552 (1998), DOI:10.1126/science.279.5350.548"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,Optical band gap measurement,"Weinberg et al. J Appl Phys 50:5757 (1979), DOI:10.1063/1.326717"
fused_silica,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,Photoemission measurement,"DiStefano & Eastman Solid State Commun 9:2259 (1971), DOI:10.1016/0038-1098(71)90643-0"
fused_silica,,,,,,,,,,,,,,,,,,,,,,-903.5,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amorphous SiO2 at 298.15 K,"NIST-JANAF Thermochemical Tables, Chase (1998), DOI:10.18434/T42S31"
